,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
39,Port Alfred,ZA,-33.59,26.89,59.0,63,10,5.99,clear sky,0.0,0.0
40,Abnub,EG,27.27,31.15,80.6,42,0,9.17,clear sky,0.0,0.0
41,Rikitea,PF,-23.12,-134.97,68.38,57,0,17.38,clear sky,0.0,0.0
42,Kapaa,US,22.08,-159.32,86.0,66,40,10.29,scattered clouds,0.0,0.0
43,Kununurra,AU,-15.77,128.73,55.4,29,12,7.2,few clouds,0.0,0.0
44,Serik,TR,36.92,31.1,77.0,69,0,4.61,clear sky,0.0,0.0
45,Phalaborwa,ZA,-23.94,31.14,62.6,77,0,10.29,clear sky,0.0,0.0
46,Pa Sang,TH,18.53,98.94,77.0,88,20,2.24,few clouds,0.0,0.0
47,Dhidhdhoo,MV,6.88,73.1,83.05,80,12,16.51,few clouds,0.0,0.0
48,Saint-Joseph,RE,-21.37,55.62,68.0,72,35,6.93,scattered clouds,0.0,0.0
49,Inta,RU,66.03,60.17,40.42,91,100,7.99,overcast clouds,0.0,0.0
50,Cidreira,BR,-30.18,-50.21,55.29,63,11,7.4,few clouds,0.0,0.0
51,Lebu,CL,-37.62,-73.65,53.22,89,66,11.36,light rain,0.28,0.0
52,Cape Town,ZA,-33.93,18.42,57.99,87,75,8.05,broken clouds,0.0,0.0
53,Ojinaga,MX,29.57,-104.42,96.8,18,1,4.38,clear sky,0.0,0.0
54,Saint George,US,37.1,-113.58,98.6,13,1,39.15,clear sky,0.0,0.0
55,Mar Del Plata,AR,-38.0,-57.56,48.0,93,84,3.56,broken clouds,0.0,0.0
56,Ishinomaki,JP,38.42,141.3,68.0,72,40,3.36,scattered clouds,0.0,0.0
57,Jining,CN,35.41,116.58,79.0,28,78,15.39,broken clouds,0.0,0.0
58,Sitka,US,57.05,-135.33,57.2,71,90,6.93,overcast clouds,0.0,0.0
59,Hobart,AU,-42.88,147.33,42.8,87,7,6.93,light rain,0.25,0.0
60,Wasilla,US,61.58,-149.44,54.0,66,90,4.7,overcast clouds,0.0,0.0
61,Port-Cartier,CA,50.03,-66.87,61.0,87,90,12.75,overcast clouds,0.0,0.0
62,Bengkulu,ID,-3.8,102.27,76.06,87,57,5.39,broken clouds,0.0,0.0
63,Tasiilaq,GL,65.61,-37.64,42.8,87,100,3.36,light rain,0.0,0.0
64,Sinnamary,GF,5.38,-52.95,79.02,83,98,6.26,light rain,0.4,0.0
65,Osmena,PH,10.52,119.93,82.09,78,100,10.0,overcast clouds,0.0,0.0
66,Necochea,AR,-38.55,-58.74,41.0,91,100,5.99,overcast clouds,0.0,0.0
67,Okha,RU,53.57,142.95,47.48,93,100,2.64,overcast clouds,0.0,0.0
68,Saint-Philippe,RE,-21.36,55.77,68.0,72,40,6.93,scattered clouds,0.0,0.0
69,Saskylakh,RU,71.92,114.08,80.92,37,0,3.71,clear sky,0.0,0.0
70,Port-Gentil,GA,-0.72,8.78,73.67,84,5,12.8,clear sky,0.0,0.0
71,Barrow,US,71.29,-156.79,51.8,66,1,12.75,clear sky,0.0,0.0
72,Butaritari,KI,3.07,172.79,82.8,73,75,12.8,broken clouds,0.0,0.0
73,Codrington,AU,-38.27,141.97,43.65,81,8,5.84,clear sky,0.0,0.0
74,Ilulissat,GL,69.22,-51.1,41.0,86,80,4.7,broken clouds,0.0,0.0
75,Ushuaia,AR,-54.8,-68.3,37.4,64,75,11.41,broken clouds,0.0,0.0
76,Yellowknife,CA,62.46,-114.35,68.0,34,20,12.75,few clouds,0.0,0.0
77,Kousseri,CM,12.08,15.03,89.6,49,20,12.75,thunderstorm,0.0,0.0
78,Upernavik,GL,72.79,-56.15,40.46,73,0,10.98,clear sky,0.0,0.0
79,Zhigansk,RU,66.77,123.37,66.11,59,0,17.0,clear sky,0.0,0.0
80,Adre,TD,13.47,22.2,88.14,30,85,3.67,overcast clouds,0.0,0.0
81,Kathu,TH,7.92,98.33,77.0,94,20,5.99,few clouds,0.0,0.0
82,Saint-Pierre,RE,-21.34,55.48,68.0,72,34,6.93,scattered clouds,0.0,0.0
83,Vaini,TO,-21.2,-175.2,80.6,88,75,9.17,broken clouds,0.0,0.0
84,Dikson,RU,73.51,80.55,43.18,100,100,18.97,light rain,0.18,0.0
85,Tonantins,BR,-2.87,-67.8,75.9,93,96,1.61,light rain,0.71,0.0
86,Graham,US,47.05,-122.29,66.99,59,90,4.7,overcast clouds,0.0,0.0
87,Chuy,UY,-33.7,-53.46,46.81,83,38,4.68,scattered clouds,0.0,0.0
88,Katsuura,JP,35.13,140.3,77.0,65,20,5.82,few clouds,0.0,0.0
89,Hamilton,US,39.18,-84.53,84.0,65,75,3.56,broken clouds,0.0,0.0
90,Villanueva,HN,15.32,-88.0,89.6,59,75,16.11,broken clouds,0.0,0.0
91,Labuhan,ID,-6.88,112.21,76.01,85,1,5.21,clear sky,0.0,0.0
92,Grand Gaube,MU,-20.01,57.66,70.0,82,35,3.0,light rain,0.23,0.0
93,Coquimbo,CL,-29.95,-71.34,55.4,87,90,9.17,overcast clouds,0.0,0.0
94,Sonoita,MX,31.85,-112.83,97.0,13,0,7.0,clear sky,0.0,0.0
95,Uige,AO,-7.61,15.06,63.21,73,0,2.57,clear sky,0.0,0.0
96,Keti Bandar,PK,24.14,67.45,86.76,75,45,19.1,scattered clouds,0.0,0.0
97,Madang,PG,-5.22,145.8,80.53,76,92,4.32,light rain,0.11,0.0
98,Karasjok,NO,69.47,25.51,44.6,81,80,16.11,broken clouds,0.0,0.0
99,Busselton,AU,-33.65,115.33,54.0,66,52,27.29,light rain,0.64,0.0
100,Great Yarmouth,GB,52.61,1.73,57.0,96,78,4.0,broken clouds,0.0,0.0
101,Lozna,RO,47.32,23.47,70.0,88,50,4.7,light rain,0.17,0.0
102,Castro,BR,-24.79,-50.01,50.38,90,93,5.57,overcast clouds,0.0,0.0
103,Ambon,ID,-3.7,128.18,79.0,94,75,5.82,broken clouds,0.0,0.0
104,Ribeira Grande,PT,38.52,-28.7,68.32,91,28,6.98,scattered clouds,0.0,0.0
105,Jutai,BR,-5.18,-68.9,80.98,70,93,2.17,overcast clouds,0.0,0.0
106,Shenjiamen,CN,29.96,122.3,76.77,88,100,23.29,overcast clouds,0.0,0.0
107,Poum,NC,-20.23,164.02,71.53,67,74,11.68,broken clouds,0.0,0.0
108,Mogadishu,SO,2.04,45.34,78.3,86,75,17.38,light rain,0.23,0.0
109,Kaka,TM,37.35,59.61,69.76,22,49,0.96,scattered clouds,0.0,0.0
110,Hauknes,NO,66.28,14.07,60.01,62,46,5.82,scattered clouds,0.0,0.0
111,Bredasdorp,ZA,-34.53,20.04,55.4,82,8,12.75,clear sky,0.0,0.0
112,Quatre Cocos,MU,-20.21,57.76,71.6,83,40,14.99,scattered clouds,0.0,0.0
113,Acapulco,MX,16.86,-99.89,87.8,66,40,11.41,scattered clouds,0.0,0.0
114,Vung Tau,VN,10.35,107.08,80.6,79,100,5.3,light rain,0.78,0.0
115,Broome,US,42.25,-75.83,78.01,60,40,14.99,scattered clouds,0.0,0.0
116,Pecos,US,31.42,-103.49,102.2,11,1,12.75,clear sky,0.0,0.0
117,Bambous Virieux,MU,-20.34,57.76,71.6,83,40,14.99,scattered clouds,0.0,0.0
118,Luderitz,NA,-26.65,15.16,57.2,71,0,11.41,clear sky,0.0,0.0
119,Khatanga,RU,71.97,102.5,83.12,31,3,17.13,clear sky,0.0,0.0
120,Faanui,PF,-16.48,-151.75,76.32,76,100,20.94,overcast clouds,0.0,0.0
121,San Quintin,MX,30.48,-115.95,68.11,67,1,10.27,clear sky,0.0,0.0
122,Korla,CN,41.76,86.15,84.99,62,100,3.0,overcast clouds,0.0,0.0
123,Palmer,US,42.16,-72.33,73.0,100,90,3.56,heavy intensity rain,10.67,0.0
124,Vrangel,RU,42.73,133.08,58.1,88,86,1.54,overcast clouds,0.0,0.0
125,Constitucion,CL,-35.33,-72.42,54.54,95,100,12.53,moderate rain,2.46,0.0
126,Hithadhoo,MV,-0.6,73.08,84.45,72,17,8.12,few clouds,0.0,0.0
127,Antofagasta,CL,-23.65,-70.4,59.0,77,40,8.05,scattered clouds,0.0,0.0
128,Qaanaaq,GL,77.48,-69.36,43.57,62,0,1.39,clear sky,0.0,0.0
129,Khobi,GE,42.32,41.9,66.2,93,40,2.24,scattered clouds,0.0,0.0
130,Namatanai,PG,-3.67,152.43,83.75,73,35,7.38,scattered clouds,0.0,0.0
131,Vadso,NO,70.07,29.75,42.8,81,75,9.17,broken clouds,0.0,0.0
132,Beringovskiy,RU,63.05,179.32,41.11,73,85,11.92,overcast clouds,0.0,0.0
133,Korostyshiv,UA,50.32,29.06,63.48,94,10,6.62,clear sky,0.0,0.0
134,Loudeac,FR,48.18,-2.75,57.0,56,87,7.18,overcast clouds,0.0,0.0
135,Altay,CN,47.87,88.12,54.28,52,93,1.83,overcast clouds,0.0,0.0
136,Talnakh,RU,69.49,88.4,71.6,53,14,17.9,few clouds,0.0,0.0
137,Pilar,BR,-9.6,-35.96,71.6,94,40,2.24,scattered clouds,0.0,0.0
138,Naze,JP,28.37,129.48,80.6,94,40,8.05,scattered clouds,0.0,0.0
139,Meybod,IR,32.25,54.02,84.2,25,0,2.24,clear sky,0.0,0.0
140,Shelburne,CA,44.08,-80.2,78.01,50,20,10.29,few clouds,0.0,0.0
141,Banikoara,BJ,11.3,2.44,73.11,89,86,1.92,moderate rain,1.78,0.0
142,Sao Filipe,CV,14.9,-24.5,75.56,75,2,13.22,clear sky,0.0,0.0
143,Carmen,MX,18.63,-91.83,91.4,59,40,10.29,scattered clouds,0.0,0.0
144,Ajdabiya,LY,30.76,20.23,71.6,70,0,8.59,clear sky,0.0,0.0
145,Caconda,AO,-13.73,15.07,51.76,43,0,3.18,clear sky,0.0,0.0
146,Nanortalik,GL,60.14,-45.24,40.86,85,51,11.18,broken clouds,0.0,0.0
147,Lazaro Cardenas,MX,17.96,-102.2,85.26,67,31,9.73,scattered clouds,0.0,0.0
148,Hasaki,JP,35.73,140.83,75.2,73,40,6.93,scattered clouds,0.0,0.0
149,Nome,US,64.5,-165.41,46.99,87,90,5.82,overcast clouds,0.0,0.0
150,Rawson,AR,-43.3,-65.1,35.6,66,75,6.22,light intensity drizzle,0.0,0.0
151,Copala,MX,16.65,-98.98,86.99,60,1,11.41,clear sky,0.0,0.0
152,Houma,US,29.6,-90.72,91.0,70,40,9.17,scattered clouds,0.0,0.0
153,Angatuba,BR,-23.49,-48.41,54.12,93,9,9.73,clear sky,0.0,0.0
154,North Bend,US,43.41,-124.22,64.0,82,90,8.05,light rain,0.0,0.0
155,Vao,NC,-22.67,167.48,69.06,55,0,8.61,clear sky,0.0,0.0
156,Kruisfontein,ZA,-34.0,24.73,51.51,73,35,10.83,scattered clouds,0.0,0.0
157,Veracruz,MX,19.33,-96.67,89.01,62,20,11.41,few clouds,0.0,0.0
158,Margate,GB,51.38,1.39,60.01,56,56,7.0,broken clouds,0.0,0.0
159,Komsomolskiy,UZ,40.43,71.72,64.4,39,0,9.17,clear sky,0.0,0.0
160,Atuona,PF,-9.8,-139.03,80.29,76,4,14.43,clear sky,0.0,0.0
161,Monastyrshchina,RU,54.35,31.84,60.26,92,22,5.64,few clouds,0.0,0.0
162,Victoria,HK,22.29,114.16,84.0,79,99,4.0,light rain,0.14,0.0
163,Avera,US,33.19,-82.53,91.99,49,1,9.17,clear sky,0.0,0.0
164,San Joaquin,VE,10.26,-67.79,74.75,87,80,7.31,broken clouds,0.0,0.0
165,Avarua,CK,-21.21,-159.78,77.0,65,20,18.34,few clouds,0.0,0.0
166,Dennery,LC,13.9,-60.89,84.2,74,20,8.05,few clouds,0.0,0.0
167,Santiago Del Estero,AR,-27.8,-64.26,56.44,40,79,6.96,broken clouds,0.0,0.0
168,Marataizes,BR,-21.04,-40.82,69.58,83,94,7.11,overcast clouds,0.0,0.0
169,Ambilobe,MG,-13.2,49.05,69.33,88,2,2.75,clear sky,0.0,0.0
170,Evensk,RU,61.95,159.23,52.09,74,94,6.91,overcast clouds,0.0,0.0
171,Caucaia,BR,-3.74,-38.65,81.0,78,5,8.05,clear sky,0.0,0.0
172,Killybegs,IE,54.63,-8.45,52.0,95,100,8.99,light rain,0.78,0.0
173,Pangnirtung,CA,66.15,-65.71,48.18,62,41,2.66,scattered clouds,0.0,0.0
174,Cairns,AU,-16.92,145.77,71.6,78,90,9.17,overcast clouds,0.0,0.0
175,Arlit,NE,18.74,7.39,90.79,11,0,10.56,clear sky,0.0,0.0
176,Eshowe,ZA,-28.89,31.47,53.37,74,8,4.88,clear sky,0.0,0.0
177,Antalaha,MG,-14.9,50.28,71.83,86,64,5.53,broken clouds,0.0,0.0
178,Palanga,LT,55.92,21.07,64.4,100,90,1.12,fog,0.0,0.0
179,Fortuna,US,40.6,-124.16,64.99,59,40,23.04,scattered clouds,0.0,0.0
180,Florianopolis,BR,-27.61,-48.5,62.6,67,75,4.7,broken clouds,0.0,0.0
181,Lazo,RU,43.38,133.9,60.17,87,99,2.44,overcast clouds,0.0,0.0
182,Sao Raimundo Nonato,BR,-9.02,-42.7,75.24,52,5,3.58,clear sky,0.0,0.0
183,Kodiak,US,57.79,-152.41,55.4,62,90,11.41,overcast clouds,0.0,0.0
184,Barcelona,ES,41.39,2.16,75.99,88,20,3.36,few clouds,0.0,0.0
185,Mount Isa,AU,-20.73,139.5,59.0,51,0,4.7,clear sky,0.0,0.0
186,Richards Bay,ZA,-28.78,32.04,62.29,69,0,5.17,clear sky,0.0,0.0
187,Taltal,CL,-25.4,-70.48,56.52,77,81,2.1,broken clouds,0.0,0.0
188,Pevek,RU,69.7,170.31,31.78,99,100,16.2,light snow,0.0,0.25
189,Merrill,US,45.18,-89.68,82.4,57,75,11.41,broken clouds,0.0,0.0
190,Manaure,CO,11.78,-72.44,85.93,62,100,21.88,overcast clouds,0.0,0.0
191,Gilbues,BR,-9.83,-45.34,75.06,45,0,6.11,clear sky,0.0,0.0
192,Port Pirie,AU,-33.18,138.02,33.8,80,0,5.82,clear sky,0.0,0.0
193,Onega,RU,63.91,38.14,40.95,89,24,4.43,few clouds,0.0,0.0
194,Sidi Ali,DZ,36.1,0.42,74.59,57,0,1.77,clear sky,0.0,0.0
195,Saint Anthony,US,45.02,-93.22,84.2,54,20,9.17,few clouds,0.0,0.0
196,Taman,RU,45.21,36.72,57.2,82,0,6.71,clear sky,0.0,0.0
197,Ostrovnoy,RU,68.05,39.51,43.11,86,97,9.6,overcast clouds,0.0,0.0
198,Redwater,US,33.36,-94.25,89.6,62,20,11.41,thunderstorm,0.0,0.0
199,Klaksvik,FO,62.23,-6.59,55.4,76,79,19.46,broken clouds,0.0,0.0
200,Jamestown,US,42.1,-79.24,75.99,64,40,12.75,scattered clouds,0.0,0.0
201,Ugoofaaru,MV,5.67,73.0,83.03,79,0,14.47,clear sky,0.0,0.0
202,Tuatapere,NZ,-46.13,167.68,47.82,80,98,10.54,light rain,0.24,0.0
203,Kavieng,PG,-2.57,150.8,84.47,75,18,11.72,few clouds,0.0,0.0
204,Mlonggo,ID,-6.53,110.7,75.52,83,1,4.54,clear sky,0.0,0.0
205,Lianran,CN,24.92,102.48,68.0,93,75,8.95,broken clouds,0.0,0.0
206,Mbanza-Ngungu,CD,-5.25,14.87,69.03,63,0,7.99,clear sky,0.0,0.0
207,Bethel,US,41.37,-73.41,73.99,94,75,1.79,light rain,0.25,0.0
208,Onalaska,US,43.88,-91.24,87.8,55,20,10.29,few clouds,0.0,0.0
209,Mantua,IT,45.17,10.78,75.99,65,1,1.01,clear sky,0.0,0.0
210,Coahuayana,MX,18.73,-103.68,78.8,74,75,17.22,broken clouds,0.0,0.0
211,Valpacos,PT,41.61,-7.31,61.0,69,0,1.99,clear sky,0.0,0.0
212,Mayor Pablo Lagerenza,PY,-19.93,-60.77,64.96,55,75,6.49,broken clouds,0.0,0.0
213,Srednekolymsk,RU,67.45,153.68,55.31,44,100,8.32,overcast clouds,0.0,0.0
214,Ust-Ishim,RU,57.69,71.17,51.44,98,100,4.18,light rain,0.33,0.0
215,Brae,GB,60.4,-1.35,55.4,87,100,24.16,overcast clouds,0.0,0.0
216,Byron Bay,AU,-28.65,153.62,53.01,93,51,8.05,broken clouds,0.0,0.0
217,East London,ZA,-33.02,27.91,59.7,57,0,17.9,clear sky,0.0,0.0
218,Saldanha,ZA,-33.01,17.94,55.4,87,52,3.36,broken clouds,0.0,0.0
219,Comodoro Rivadavia,AR,-45.87,-67.5,39.2,93,75,11.45,light rain,0.0,0.0
220,Lillooet,CA,50.69,-121.94,69.8,49,75,16.11,broken clouds,0.0,0.0
221,Vila Franca Do Campo,PT,37.72,-25.43,68.0,88,40,3.36,scattered clouds,0.0,0.0
222,Kjopsvik,NO,68.1,16.37,61.0,81,80,16.11,broken clouds,0.0,0.0
223,Nouadhibou,MR,20.93,-17.03,71.6,73,33,20.8,scattered clouds,0.0,0.0
224,Burns Lake,CA,54.23,-125.75,72.82,28,68,4.14,broken clouds,0.0,0.0
225,Georgetown,MY,5.41,100.34,84.2,94,20,2.24,few clouds,0.0,0.0
226,Naryan-Mar,RU,67.67,53.09,39.38,85,100,14.25,overcast clouds,0.0,0.0
227,Waipawa,NZ,-41.41,175.52,48.2,93,95,21.92,light rain,0.0,0.0
228,Kozhevnikovo,RU,56.26,83.97,54.1,73,19,10.87,few clouds,0.0,0.0
229,Praia Da Vitoria,PT,38.73,-27.07,68.0,88,75,8.75,light intensity drizzle,0.0,0.0
230,Airai,TL,-8.93,125.41,59.54,100,98,3.31,overcast clouds,0.0,0.0
231,Lavrentiya,RU,65.58,-171.0,41.25,73,50,14.74,scattered clouds,0.0,0.0
232,Jamame,SO,0.07,42.75,76.66,87,90,10.63,light rain,0.11,0.0
233,Teya,RU,60.38,92.63,57.78,84,91,3.71,overcast clouds,0.0,0.0
234,Guerrero Negro,MX,27.98,-114.06,74.43,54,5,14.43,clear sky,0.0,0.0
235,Mitu,CO,1.2,-70.17,74.12,96,36,2.21,light rain,0.94,0.0
236,Plettenberg Bay,ZA,-34.05,23.37,54.68,73,25,11.59,scattered clouds,0.0,0.0
237,Karpathos,GR,35.51,27.21,73.4,83,1,23.04,clear sky,0.0,0.0
238,Shaowu,CN,27.34,117.48,79.95,75,98,1.74,overcast clouds,0.0,0.0
239,Saint Pete Beach,US,27.73,-82.74,88.0,70,1,6.93,clear sky,0.0,0.0
240,Kendari,ID,-3.94,122.5,74.28,92,100,3.83,overcast clouds,0.0,0.0
241,Tole,UA,44.72,33.82,65.55,53,0,3.69,clear sky,0.0,0.0
242,Sabang,ID,5.89,95.32,81.93,78,32,11.48,scattered clouds,0.0,0.0
243,Punta Alta,AR,-38.88,-62.07,43.68,66,97,14.45,overcast clouds,0.0,0.0
244,Nalut,LY,30.33,10.85,86.4,18,17,11.59,few clouds,0.0,0.0
245,Anadyr,RU,64.75,177.48,41.0,80,40,8.95,shower rain,0.0,0.0
246,Uppsala,SE,60.0,17.75,68.0,82,99,6.93,overcast clouds,0.0,0.0
247,Virtsu,EE,58.57,23.51,64.99,80,12,4.0,few clouds,0.0,0.0
248,Wanaka,NZ,-44.7,169.15,39.99,88,77,1.36,light rain,0.51,0.0
249,Aykhal,RU,66.0,111.5,69.8,49,31,6.71,scattered clouds,0.0,0.0
250,Tiarei,PF,-17.53,-149.33,84.2,51,40,5.82,scattered clouds,0.0,0.0
251,Port Elizabeth,ZA,-33.92,25.57,55.4,66,29,11.41,scattered clouds,0.0,0.0
252,Port Augusta,AU,-32.5,137.77,37.99,80,0,5.82,clear sky,0.0,0.0
253,Boone,US,39.03,-92.33,89.01,57,55,14.0,light rain,0.43,0.0
254,Den Helder,NL,52.96,4.76,61.0,67,40,25.32,scattered clouds,0.0,0.0
255,Glogow,PL,51.66,16.08,69.01,37,69,6.51,broken clouds,0.0,0.0
256,Yulara,AU,-25.24,130.99,39.2,55,0,4.7,clear sky,0.0,0.0
257,Shemordan,RU,56.19,50.4,44.02,92,0,5.93,clear sky,0.0,0.0
258,Bandhi,PK,26.59,68.3,89.6,70,13,11.41,haze,0.0,0.0
259,Vanimo,PG,-2.67,141.3,81.39,80,68,3.38,light rain,0.68,0.0
260,Ayagoz,KZ,47.97,80.44,48.47,59,1,5.73,clear sky,0.0,0.0
261,Ulladulla,AU,-35.35,150.47,50.0,93,40,4.7,scattered clouds,0.0,0.0
262,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,53.15,78,59,5.44,broken clouds,0.0,0.0
263,Mackay,AU,-21.15,149.2,66.0,88,40,10.29,scattered clouds,0.0,0.0
264,Hobyo,SO,5.35,48.53,78.44,80,36,20.58,scattered clouds,0.0,0.0
265,Clyde River,CA,70.47,-68.59,33.8,100,90,11.41,light rain,0.0,0.0
266,Lusambo,CD,-4.97,23.45,74.82,64,52,0.74,broken clouds,0.0,0.0
267,Dunedin,NZ,-45.87,170.5,48.0,81,100,1.01,light rain,0.37,0.0
268,Kalmunai,LK,7.42,81.82,81.16,76,93,6.15,overcast clouds,0.0,0.0
269,Thompson,CA,55.74,-97.86,57.2,93,90,9.17,overcast clouds,0.0,0.0
270,Owando,CG,-0.48,15.9,77.47,75,93,2.51,overcast clouds,0.0,0.0
271,Shihezi,CN,44.3,86.03,58.01,73,100,12.3,light rain,0.6,0.0
272,Mandalgovi,MN,45.76,106.27,61.54,68,84,10.25,light rain,0.28,0.0
273,Vavatenina,MG,-17.47,49.2,68.23,85,54,2.1,broken clouds,0.0,0.0
274,Lorengau,PG,-2.02,147.27,85.03,73,61,11.61,broken clouds,0.0,0.0
275,Torbay,CA,47.67,-52.73,64.99,82,90,5.82,overcast clouds,0.0,0.0
276,Sola,VU,-13.88,167.55,78.8,94,90,17.58,overcast clouds,0.0,0.0
277,Esperance,AU,-33.87,121.9,51.8,81,90,14.99,overcast clouds,0.0,0.0
278,Kamaishi,JP,39.27,141.88,69.8,68,75,5.82,broken clouds,0.0,0.0
279,Fort Nelson,CA,58.81,-122.7,66.2,52,75,8.05,broken clouds,0.0,0.0
280,Tezu,IN,27.92,96.17,75.94,73,76,1.83,broken clouds,0.0,0.0
281,Cabo San Lucas,MX,22.89,-109.91,89.01,61,90,6.93,overcast clouds,0.0,0.0
282,Puerto Escondido,MX,15.85,-97.07,87.8,70,40,11.41,scattered clouds,0.0,0.0
283,Trat,TH,12.5,102.5,76.75,90,82,0.67,broken clouds,0.0,0.0
284,Umm Lajj,SA,25.02,37.27,84.72,53,0,10.6,clear sky,0.0,0.0
285,Kaitangata,NZ,-46.28,169.85,46.99,84,100,8.01,light rain,0.57,0.0
286,Melton,AU,-37.68,144.58,39.2,80,5,11.41,clear sky,0.0,0.0
287,Lompoc,US,34.64,-120.46,64.99,72,60,9.17,broken clouds,0.0,0.0
288,Haines Junction,CA,60.75,-137.51,64.62,29,100,13.51,overcast clouds,0.0,0.0
289,College,US,64.86,-147.8,66.2,42,75,9.17,broken clouds,0.0,0.0
290,Bilibino,RU,68.05,166.44,45.16,57,75,4.97,broken clouds,0.0,0.0
291,Jaisalmer,IN,26.91,70.92,84.51,65,0,24.43,clear sky,0.0,0.0
292,Pimentel,PE,-6.84,-79.93,68.0,72,13,14.99,few clouds,0.0,0.0
293,Karatu,TZ,-3.33,35.67,58.5,87,4,4.41,clear sky,0.0,0.0
294,Hambantota,LK,6.12,81.12,81.64,80,18,17.29,few clouds,0.0,0.0
295,Oxbow,CA,49.23,-102.17,73.0,80,93,14.0,heavy intensity rain,4.99,0.0
296,Leningradskiy,RU,69.38,178.42,31.66,98,79,3.85,broken clouds,0.0,0.0
297,Yar-Sale,RU,66.83,70.83,52.72,66,95,20.62,overcast clouds,0.0,0.0
298,Merauke,ID,-8.47,140.33,79.75,78,78,15.14,broken clouds,0.0,0.0
299,Opuwo,NA,-18.06,13.84,56.66,37,0,7.43,clear sky,0.0,0.0
300,Santa Maria,BR,-29.68,-53.81,51.8,87,35,4.7,scattered clouds,0.0,0.0
